Train for 937 steps, validate for 117 steps
124/937 [==>...........................] - ETA: 12:00 - loss: 0.5259 - accuracy: 0.8644For batch 124, loss is  0.0108.
125/937 [===>..........................] - ETA: 11:59 - loss: 0.5218 - accuracy: 0.8655For batch 125, loss is  0.0388.
126/937 [===>..........................] - ETA: 11:58 - loss: 0.5180 - accuracy: 0.8664For batch 126, loss is  0.0287.
127/937 [===>..........................] - ETA: 11:57 - loss: 0.5141 - accuracy: 0.8674For batch 127, loss is  0.0234.
128/937 [===>..........................] - ETA: 11:56 - loss: 0.5103 - accuracy: 0.8683For batch 128, loss is  0.0328.
129/937 [===>..........................] - ETA: 11:55 - loss: 0.5066 - accuracy: 0.8693For batch 129, loss is  0.0460.
130/937 [===>..........................] - ETA: 11:54 - loss: 0.5030 - accuracy: 0.8702For batch 130, loss is  0.0066.
131/937 [===>..........................] - ETA: 11:52 - loss: 0.4992 - accuracy: 0.8712For batch 131, loss is  0.0096.
132/937 [===>..........................] - ETA: 11:51 - loss: 0.4955 - accuracy: 0.8721For batch 132, loss is  0.0312.
133/937 [===>..........................] - ETA: 11:50 - loss: 0.4920 - accuracy: 0.8730For batch 133, loss is  0.0333.
134/937 [===>..........................] - ETA: 11:49 - loss: 0.4886 - accuracy: 0.8738For batch 134, loss is  0.0232.
135/937 [===>..........................] - ETA: 11:48 - loss: 0.4852 - accuracy: 0.8747For batch 135, loss is  0.0176.
136/937 [===>..........................] - ETA: 11:47 - loss: 0.4817 - accuracy: 0.8756For batch 136, loss is  0.0332.
137/937 [===>..........................] - ETA: 11:46 - loss: 0.4785 - accuracy: 0.8764For batch 137, loss is  0.0113.
138/937 [===>..........................] - ETA: 11:45 - loss: 0.4751 - accuracy: 0.8772For batch 138, loss is  0.0569.
139/937 [===>..........................] - ETA: 11:44 - loss: 0.4721 - accuracy: 0.8780For batch 139, loss is  0.0182.
140/937 [===>..........................] - ETA: 11:43 - loss: 0.4688 - accuracy: 0.8788For batch 140, loss is  0.0143.
141/937 [===>..........................] - ETA: 11:42 - loss: 0.4656 - accuracy: 0.8796For batch 141, loss is  0.0069.
142/937 [===>..........................] - ETA: 11:41 - loss: 0.4624 - accuracy: 0.8804For batch 142, loss is  0.0194.
143/937 [===>..........................] - ETA: 11:40 - loss: 0.4593 - accuracy: 0.8812For batch 143, loss is  0.0138.
144/937 [===>..........................] - ETA: 11:39 - loss: 0.4562 - accuracy: 0.8820For batch 144, loss is  0.0282.
145/937 [===>..........................] - ETA: 11:37 - loss: 0.4532 - accuracy: 0.8827For batch 145, loss is  0.0063.
146/937 [===>..........................] - ETA: 11:36 - loss: 0.4502 - accuracy: 0.8835For batch 146, loss is  0.0420.
147/937 [===>..........................] - ETA: 11:35 - loss: 0.4474 - accuracy: 0.8842For batch 147, loss is  0.0125.
148/937 [===>..........................] - ETA: 11:34 - loss: 0.4444 - accuracy: 0.8850For batch 148, loss is  0.0462.
149/937 [===>..........................] - ETA: 11:33 - loss: 0.4418 - accuracy: 0.8856For batch 149, loss is  0.0268.
150/937 [===>..........................] - ETA: 11:32 - loss: 0.4390 - accuracy: 0.8863For batch 150, loss is  0.0341.
151/937 [===>..........................] - ETA: 11:31 - loss: 0.4363 - accuracy: 0.8870For batch 151, loss is  0.0192.
152/937 [===>..........................] - ETA: 11:30 - loss: 0.4336 - accuracy: 0.8877For batch 152, loss is  0.0077.
153/937 [===>..........................] - ETA: 11:29 - loss: 0.4308 - accuracy: 0.8885For batch 153, loss is  0.0240.
154/937 [===>..........................] - ETA: 11:28 - loss: 0.4282 - accuracy: 0.8891For batch 154, loss is  0.0192.
