Train for 937 steps, validate for 117 steps
141/937 [===>..........................] - ETA: 7:38 - loss: 0.1120 - accuracy: 0.9452For batch 141, loss is  0.0249.
142/937 [===>..........................] - ETA: 7:37 - loss: 0.1113 - accuracy: 0.9456For batch 142, loss is  0.0242.
143/937 [===>..........................] - ETA: 7:36 - loss: 0.1107 - accuracy: 0.9459For batch 143, loss is  0.0151.
144/937 [===>..........................] - ETA: 7:36 - loss: 0.1101 - accuracy: 0.9462For batch 144, loss is  0.0272.
145/937 [===>..........................] - ETA: 7:35 - loss: 0.1095 - accuracy: 0.9465For batch 145, loss is  0.0053.
146/937 [===>..........................] - ETA: 7:34 - loss: 0.1088 - accuracy: 0.9468For batch 146, loss is  0.0144.
147/937 [===>..........................] - ETA: 7:33 - loss: 0.1081 - accuracy: 0.9471For batch 147, loss is  0.0120.
148/937 [===>..........................] - ETA: 7:32 - loss: 0.1075 - accuracy: 0.9475For batch 148, loss is  0.0111.
149/937 [===>..........................] - ETA: 7:32 - loss: 0.1068 - accuracy: 0.9478For batch 149, loss is  0.0073.
150/937 [===>..........................] - ETA: 7:31 - loss: 0.1062 - accuracy: 0.9481For batch 150, loss is  0.0041.
151/937 [===>..........................] - ETA: 7:30 - loss: 0.1055 - accuracy: 0.9484For batch 151, loss is  0.0124.
152/937 [===>..........................] - ETA: 7:29 - loss: 0.1049 - accuracy: 0.9487For batch 152, loss is  0.0039.
153/937 [===>..........................] - ETA: 7:29 - loss: 0.1042 - accuracy: 0.9491For batch 153, loss is  0.0011.
154/937 [===>..........................] - ETA: 7:28 - loss: 0.1036 - accuracy: 0.9494For batch 154, loss is  0.0129.
155/937 [===>..........................] - ETA: 7:27 - loss: 0.1030 - accuracy: 0.9497For batch 155, loss is  0.0036.
156/937 [===>..........................] - ETA: 7:26 - loss: 0.1023 - accuracy: 0.9500For batch 156, loss is  0.0096.
157/937 [====>.........................] - ETA: 7:26 - loss: 0.1017 - accuracy: 0.9503For batch 157, loss is  0.0033.
158/937 [====>.........................] - ETA: 7:25 - loss: 0.1011 - accuracy: 0.9506For batch 158, loss is  0.0118.
159/937 [====>.........................] - ETA: 7:24 - loss: 0.1006 - accuracy: 0.9509For batch 159, loss is  0.0021.
160/937 [====>.........................] - ETA: 7:23 - loss: 0.0999 - accuracy: 0.9512For batch 160, loss is  0.0045.
161/937 [====>.........................] - ETA: 7:23 - loss: 0.0994 - accuracy: 0.9515For batch 161, loss is  0.0034.
162/937 [====>.........................] - ETA: 7:22 - loss: 0.0988 - accuracy: 0.9518For batch 162, loss is  0.0020.
163/937 [====>.........................] - ETA: 7:21 - loss: 0.0982 - accuracy: 0.9521For batch 163, loss is  0.0092.
164/937 [====>.........................] - ETA: 7:20 - loss: 0.0976 - accuracy: 0.9523For batch 164, loss is  0.0062.
165/937 [====>.........................] - ETA: 7:20 - loss: 0.0971 - accuracy: 0.9526For batch 165, loss is  0.0179.
166/937 [====>.........................] - ETA: 7:19 - loss: 0.0966 - accuracy: 0.9528For batch 166, loss is  0.0051.
167/937 [====>.........................] - ETA: 7:18 - loss: 0.0960 - accuracy: 0.9531For batch 167, loss is  0.0107.
168/937 [====>.........................] - ETA: 7:17 - loss: 0.0955 - accuracy: 0.9534For batch 168, loss is  0.0037.
169/937 [====>.........................] - ETA: 7:17 - loss: 0.0950 - accuracy: 0.9536For batch 169, loss is  0.0209.
170/937 [====>.........................] - ETA: 7:16 - loss: 0.0946 - accuracy: 0.9539For batch 170, loss is  0.0047.
171/937 [====>.........................] - ETA: 7:15 - loss: 0.0940 - accuracy: 0.9542For batch 171, loss is  0.0086.
172/937 [====>.........................] - ETA: 7:14 - loss: 0.0935 - accuracy: 0.9544For batch 172, loss is  0.0099.
173/937 [====>.........................] - ETA: 7:14 - loss: 0.0931 - accuracy: 0.9546For batch 173, loss is  0.0165.
174/937 [====>.........................] - ETA: 7:13 - loss: 0.0926 - accuracy: 0.9549For batch 174, loss is  0.0153.
175/937 [====>.........................] - ETA: 7:12 - loss: 0.0922 - accuracy: 0.9551For batch 175, loss is  0.0060.
176/937 [====>.........................] - ETA: 7:11 - loss: 0.0917 - accuracy: 0.9553For batch 176, loss is  0.0029.
177/937 [====>.........................] - ETA: 7:11 - loss: 0.0912 - accuracy: 0.9556For batch 177, loss is  0.0147.
178/937 [====>.........................] - ETA: 7:10 - loss: 0.0908 - accuracy: 0.9558For batch 178, loss is  0.0330.
179/937 [====>.........................] - ETA: 7:09 - loss: 0.0904 - accuracy: 0.9560For batch 179, loss is  0.0081.
180/937 [====>.........................] - ETA: 7:09 - loss: 0.0900 - accuracy: 0.9562For batch 180, loss is  0.0100.
181/937 [====>.........................] - ETA: 7:08 - loss: 0.0895 - accuracy: 0.9564For batch 181, loss is  0.0014.
182/937 [====>.........................] - ETA: 7:07 - loss: 0.0890 - accuracy: 0.9567For batch 182, loss is  0.0016.
183/937 [====>.........................] - ETA: 7:06 - loss: 0.0886 - accuracy: 0.9569For batch 183, loss is  0.0201.
184/937 [====>.........................] - ETA: 7:06 - loss: 0.0882 - accuracy: 0.9571For batch 184, loss is  0.0041.
185/937 [====>.........................] - ETA: 7:05 - loss: 0.0877 - accuracy: 0.9573For batch 185, loss is  0.0126.
186/937 [====>.........................] - ETA: 7:04 - loss: 0.0873 - accuracy: 0.9575For batch 186, loss is  0.0015.
